seed,Silhouette,CH,DB,MQ_graph,MoJoFM,TurboMQ,Cohesion,Coupling
40,0.253282452299057,46.4300733254716,1.83643751526867,0.113343821782811,0.27112676056338,0.294309908476448,0.090687371843216,0.710787684667638
41,0.238174034304542,46.1673160678168,1.90735165659093,0.0952480185208691,0.267605633802817,0.286196053968371,0.0798855184757314,0.721130564843022
42,0.238248912370473,48.9336729670558,1.93392879199573,0.11110316558091,0.264084507042254,0.308365521686658,0.083614976202849,0.698564994439643
43,0.252612634325801,43.6009235534721,1.92061299285048,0.115955383025942,0.302816901408451,0.311299052634945,0.0977463442893753,0.69707811660271
44,0.228436494892404,46.5779490198234,1.92152208990826,0.113573578874246,0.26056338028169,0.306826610928229,0.0808355538850362,0.700842494494559
45,0.239484116103586,52.1897302924515,1.8659091423733,0.102115714707376,0.246478873239437,0.296495371152264,0.0829713633241708,0.707302280142929
46,0.250467052563062,46.057144116784,1.82305656978303,0.114516747849748,0.242957746478873,0.303710708392614,0.0958561969929164,0.70004400399781
47,0.249225862131687,45.9231670025959,1.80543802607968,0.115173833261002,0.253521126760563,0.301411525007477,0.0828045891655865,0.712727531119883
48,0.229076577407886,46.5748675673814,1.88064375570408,0.110191468549965,0.253521126760563,0.283985328874239,0.0924638735121749,0.715772907950186
49,0.242005268452253,50.5058033370768,1.8672602064734,0.10738922833734,0.23943661971831,0.285127387864468,0.0904395649819734,0.715026631447569
50,0.232373397920011,43.9138058953573,1.95714771024345,0.142295047593514,0.313380281690141,0.312802021072196,0.109399016831323,0.692978232106711
